name;info;voyage_1;voyage_2;voyage_3;voyage_4;voyage_5;voyage_6;voyage_7;voyage_8
JAVA;['Chartered ship. 1173 tons', 'Principal Managing Owner. Joseph Hare'];;;{'time': ['1824', '1823'], 'destination': 'Bengal and China', 'reference': ['L/MAR/B/169A Deck Log 8 Jun 1825-11 Mar 1826'], 'captain': 'Thomas Driver', 'itinerary': 'Downs 26 Jul 1825 - 3 Jan 1826 Saugor -13 Mar 1827 moorings'};;;;;
JEWEL;['250 tons', 'Master John Ellsmore', 'Master John Roberts'];{'time': ['1631', '1632'], 'destination': 'Bantam', 'reference': [], 'captain': [], 'itinerary': 'Downs - 6 Sep 1632 Bantam Dec - voyage ended by Jul 1633'};{'time': ['1633', '1634'], 'destination': 'Coromandel and Bantam', 'reference': ['L/MAR/A/LXI Journal Jan-Dcc 1637. John Muckncll, mate'], 'captain': [], 'itinerary': 'Downs 13 Nov 1633 - Jun 1634 Masuhpatam - Bantam - Masulipalam - 24 Mar 1636 Bantam 24 Jan 1637 - 23 Apr Mauritius - 19 Sep St Helena - Dec Downs'};{'time': ['1639', '1640'], 'destination': 'Bantam', 'reference': [], 'captain': [], 'itinerary': 'Downs - left Bantam for Surat summer 1641. not heard of again'};;;;;
JOHANNA;['600 tons. 110 crew. 36 guns', 'â–\xa01 1671/2 Madras and Bengal', 'Cap! Hopcfar Bcndall', 'Capl Hopcfar Bcndall', 'Capl Hopcfar Bcndall', 'Capl Robert Brown'];;{'time': '', 'destination': 'Mar 1678 -', 'reference': [], 'captain': []};{'time': ['\\()1', '\\(()'], 'destination': 'Madras and Bengal', 'reference': [], 'captain': 'Hopcfar Bcndall', 'itinerary': '8 Jan 1676 - 13 Aug 1677'};{'time': ['1677', '1678'], 'destination': 'St Helena and Bantam', 'reference': [], 'captain': []};{'time': ['1679', '1680'], 'destination': 'Sural', 'reference': [], 'captain': 'Hopcfar Bcndall', 'itinerary': '-16 Jul 1681'};{'time': ['1681', '1682'], 'destination': 'Bengal', 'reference': [], 'captain': [], 'itinerary': 'Downs 24 Feb 1682 - wrecked 8 Jun Cape Aghulas. South Africa'};;
JOHN (1);['Built 1643. 360 tons', 'Master John Muckncll'];{'time': ['1643', '1644'], 'destination': 'Surat', 'reference': [], 'captain': [], 'itinerary': 'Downs 6 Apr 1644 - Aug Johanna - Surat - St Helena - Ascension - Downs Muckncll seized the ship on behalf of Charles I'};;;;;;;
JOHN (2);"[""Lompam's packet. 180 tons""]";{'time': ['1789', '1790'], 'destination': 'Bengal', 'reference': [], 'captain': 'John Buchanan', 'itinerary': 'Portsmouth 19 Sep 1790 - 18 Nov 1795 Portsmouth'};{'time': ['1795', '1796'], 'destination': '', 'reference': ['L/MAR/B/756A(1) Ledger', 'L/MAR/B/756A(2) Pay Book'], 'captain': 'David Merrilees'};;;;;;
JOHN AND ALEXANDER;[];{'time': ['1673', '1674'], 'destination': 'St Helena and Barbados', 'reference': [], 'captain': 'Samuel Riccard', 'itinerary': '9 Feb 1674 - 25 Jul 1675'};;;;;;;
JOHN AND JAMES;['American ship from Petersburg, Virginia '];{'time': ['1794', '1795'], 'destination': 'Bengal', 'reference': ['L/MAR/B/418A Journal 26 Aug 1795-31 Aug 1796 '], 'captain': 'James Johnson', 'itinerary': 'Downs 27 Aug 1795 - 6 Feb 1796 Calcutta - 25 Aug Downs'};;;;;;;
JOHN AND MARGARET;['425 tons'];{'time': ['1668', '1669'], 'destination': 'Bantam', 'reference': [], 'captain': 'Robert Lord', 'itinerary': 'Feb 1669 - 19 Jun 1670 Downs'};{'time': ['1670', '1671'], 'destination': 'Bantam', 'reference': [], 'captain': 'Robert Martin Downs 6 Mar 1671 -'};;;;;;
JOHN AND MARTHA;['320 tons'];{'time': ['1668', '1669'], 'destination': 'Madras and Bengal ', 'reference': [], 'captain': 'John Gosse', 'itinerary': 'Dec 1668 - 15 Jul 1670 Downs'};{'time': ['1670', '1671'], 'destination': 'Bantam', 'reference': [], 'captain': 'Anthony Earning Jan 1671 -'};;;;;;
JOHN AND MARY (1);['150 tons, 29 crew, 12 guns'];{'time': ['1683', '1684'], 'destination': 'Madras', 'reference': [], 'captain': 'Joshua Woodland', 'itinerary': 'Downs 19 Apr 1684 - sold at Madras'};;;;;;;
JOHN AND MARY (2);['Licensed ship, 100 tons, 20 crew, 14 gun'];{'time': ['1687', '1688'], 'destination': 'Bombay', 'reference': [], 'captain': 'William Derow', 'itinerary': '7 Nov 1687 - 17 Nov 1690'};;;;;;;
JOHN AND RACHEL;['Cruising in Channel to meet homeward bound fleet'];{'time': ['1688', '1689'], 'destination': '', 'reference': ['L/MAR/A/LXXXVII Journal 23 Jun 1688-25 Apr 1689, Nathaniel Ball '], 'captain': 'Robert Fox'};;;;;;;
JOHN PALMER;['Built in Bengal 1810, 895 tons Lost on coast of Portugal 1814'];{'time': '1811', 'destination': 'From Bengal', 'reference': ['L/MAR/B/258A Journal 21 Dec 1810-1 Oct 1811 '], 'captain': 'H A Reid', 'itinerary': 'Calcutta 21 Dec 1810 -12 Mar 1811 Saugor - 7 May Mauntius - 20 Jul St Helena - 24 Sep Downs'};;;;;;;
JONAS (1);['700 tons', 'Master John Weddell', 'Master George Headland'];{'time': ['1621', '1622'], 'destination': 'Surat', 'reference': ['L/MAR/A/XXIV Journal on Jonas and Lion 17 Mar 1621-22 Jul 1623, Richard Swanley'], 'captain': [], 'itinerary': 'Tilbury 19 Mar 1621 - 30 May Trimdade - 30 Jun Cape - 23 Jul St Augustine s Bay - 26 Sep Surat 25 Oct -14 Nov Jask - 23 Jan 1622 Bandar Abbas - Surat 18 Dec -10 Mar 1623 Cape - 8 Apr St Helena -18 Jul Downs'};{'time': ['1623', '1624'], 'destination': 'Surat', 'reference': [], 'captain': [], 'itinerary': 'Downs 28 Mar 1624 - 19 Jul Cape - Oct Surat - Jan 1625 Bandar Abbas - 29 Jun Mokha -19 Dec Bandar Abbas - Surat - Oct 1626 Downs'};{'time': ['1627', '1628'], 'destination': 'Surat and Bantam', 'reference': [], 'captain': 'Richard Swanley', 'itinerary': 'Downs Feb 1628 - Surat - Bandar Abbas - Surat 15 Apr 1629 - 10 Jun Bantam - Surat 14 Apr 1630 - 5 Jun Mauritius - Mozambique Channel - 21 Oct Cape - 4 Dec St Helena - Apr 1631 Downs'};"{'time': ['1631', '1632'], 'destination': 'Surat', 'reference': ['L/MAR/A/LVII Journal on Jonas and Exchange 14 Mar 1632-12 Aug 1633, anon'], 'captain': 'John Weddell, Master Richard Monck', 'itinerary': ""Downs 29 Mar 1632 - 18 Jul St Augustine s Bay -16 Aug Moheli - 25 Sep Jask - 2 Oct Bandar Abbas ' 28 Nov Surat - 18 Feb 1633 Bandar Abbas - 5 Apr Surat - Masulipatam - Sep Bandar Abbas - 5 Nov Surat Jun 1634 - Bandar Abbas - Jul St Augustine s Bay - 3 Oct Bandar Abbas - Surat - Jan 1635 Goa - voyage ended by Aug 1635""}";{'time': ['1636', '1637'], 'destination': 'Surat and Bantam', 'reference': [], 'captain': 'John Pynne, Master John Shilling', 'itinerary': 'Downs -18 Oct 1637 Surat - left Bantam 15 Jan 1641 and not heard of again'};;;
JONAS (2);"['Frigate, 80 tons, 30 crew, 6 guns', ""BL' Sloane Ms 3672 ff.73-74 Letter from captain 18 Jim 1688, describing the voyage""]";{'time': ['1686', '1687'], 'destination': 'Bombay, to remain as country ship', 'reference': [], 'captain': 'Henry Benson', 'itinerary': 'Downs 18 Mar 1687 - 8 Apr Madeira -12 Nov Delagoa - 27 May 1688 Johanna - Downs 18 Mar 1687 - 8 Apr Madeira -12 Nov Delagoa - 27 May 1688 Johanna -'};;;;;;;
JOSIAH (1);['alias Society, 3 decks, 570/620 tons, 113/128 crew, 36/40 guns'];{'time': 'Apr', 'destination': '1685 -28 Aug 1687', 'reference': [], 'captain': []};{'time': ['1682', '1683'], 'destination': 'Madras', 'reference': [], 'captain': [], 'itinerary': '30 Apr 1683 - 16 Aug 1684'};{'time': ['1684', '1685'], 'destination': 'Madras and Bengal', 'reference': [], 'captain': 'Nathaniel Owen'};{'time': ['1687', '1688'], 'destination': 'Bombay', 'reference': [], 'captain': 'John Gayer', 'itinerary': '23 Apr 1688 - 16 Sep 1691'};;;;
JOSIAH (2);['500 tons, 100 crew, 36 guns'];{'time': ['1698', '1699'], 'destination': 'Bengal', 'reference': ['L/MAR/A/CXV Journal 15 Oct 1698-16 Oct 1700'], 'captain': 'Richard Strutton', 'itinerary': 'Downs 30 Nov 1698 - Cadiz 17 Jan 1699 - 29 Mar Cape -19 Jun Balasore - Pipli 26 Feb 1700 -'};{'time': '', 'destination': 'Jan 1701 -17 Sep 1702', 'reference': [], 'captain': []};{'time': ['1702', '1703'], 'destination': 'Bombay and Persia', 'reference': ['L/MAR/B/713A Journal 9 Jan 1703-22 Nov 1704', 'L/MAR/B/713B Journal 11 Mar 1705-22 Apr 1706, Robert Pye, Chief Mate', 'L/MAR/B/713C Ledger'], 'captain': 'Randall Pye', 'itinerary': 'Downs 15 Jun 1703 - 24 Jul Cascais - 23 Nov Cape - 29 Mar 1704 Calicut - 29 Apr Karwar -15 May Bombay -19 Aug Karwar -18 Oct Bombay 23 Mar 1705 - 26 Apr Bandar Abbas - 20 Dec Bombay - voyage ended 13 Feb 1707 Bristol'};;;;;
JULIA;['New Company, 270 tons'];{'time': ['1698', '1699'], 'destination': 'Borneo', 'reference': ['L/MAR/A/CXXVn Journal 28 Apr 1699-18 Jul 170 ', 'L/MAR/A/CXXVIIA Ledger Capt Charles Coatsworth'], 'captain': [], 'itinerary': 'Downs 28 Apr 1699 - 18 Jun Sao Tiago - 29 Oct Cape - 24 Feb 1700 Batavia -1 Apr Djapara - 19 Apr Banjarmassin - voyage ended 12 Jul 1702'};;;;;;;
JULIANA;['Extra ship, built at Calcutta by Gillet 1783 as Peggy, 2 decks, 4in bottom, length 112ft 5m, keel 87ft 9in, breadth 32ft Sin, hold 15ft Sin, wing transom 20ft, port cell 26ft 2in, waist Sin, between decks 6ft 9in, ports 6 upper, 498 tons Principal Managing Owner: James Thomas', ''];{'time': ['1809', '1810'], 'destination': 'Bengal', 'reference': ['L/MAR/B/75A Journal 12 Mar 1810-9 Aug 1811', 'L/MAR/B/75D(1) Ledger', 'L/MAR/B/75D(2) Pay Book'], 'captain': 'Jeremiah Richard James Toussamt', 'itinerary': 'Portsmouth 11 May 1810 - 27 May Madeira -12 Oct Madras -1 Dec Calcutta - 26 Jan 1811 Saugor - 11 May St Helena -13 Jul Downs'};{'time': ['1811', '1812'], 'destination': 'Batavia', 'reference': ['L/MAR/B/75B Journal 12 Mar 1812-15 Sep 1813', 'L/MAR/B/75E(1) Ledger', 'L/MAR/B/75E(2) Pay Book'], 'captain': 'Richard Rawes', 'itinerary': 'Falmouth 15 May 1812 - 3 Jun Madeira - 30 Sep Batavia -19 Mar 1813 Cape -10 Apr St Helena - 10 Aug Downs'};{'time': ['1823', '1824'], 'destination': 'China and Quebec', 'reference': ['L/MAR/B/75C Deck Log 12 Jul 1824-28 Jul 1825'], 'captain': 'Alexander Fotheringham', 'itinerary': 'Portsmouth 22 Aug 1824 - 25 Jan 1825 Whampoa -16 May St Helena -13 Jul Quebec'};;;;;
