month	price
Nov. 1782	133
Dec. 1782	140
Jan. 1783	144.5
Feb. 1783	142
Mar. 1783	139.75
Apr. 1783	139
May 1783	139
Jun. 1783	139.25
Jul. 1783	134.25
Aug. 1783	139
Sep. 1783	140
Oct. 1783	138
Nov. 1783	120
Dec. 1783	124.5
Jan. 1784	121.5
Feb. 1784	124
Mar. 1784	125.5
Apr. 1784	124
May 1784	122.75
Jun. 1784	120.75
Jul. 1784	120.75
Aug. 1784	127
Sep. 1784	126.25
Oct. 1784	128
Nov. 1784	131
Dec. 1784	136.5
Jan. 1785	134.75
Feb. 1785	131
Mar. 1785	132.5
Apr. 1785	133
May 1785	133.25
Jun. 1785	136.25
Jul. 1785	132.5
Aug. 1785	136.5
Sep. 1785	142.75
Oct. 1785	150
Nov. 1785	156.25
Dec. 1785	161
Jan. 1786	155.75
Feb. 1786	157.5
Mar. 1786	159
Apr. 1786	159.5
May 1786	162.75
Jun. 1786	160.75
Jul. 1786	160.25
Aug. 1786	167.75
Sep. 1786	164.75
Oct. 1786	166.5
Nov. 1786	166.5
Dec. 1786	168.25
Jan. 1787	163.25
Feb. 1787	164
Mar. 1787	169.25
Apr. 1787	170.25
May 1787	171.25
Jun. 1787	165.25
Jul. 1787	159
Aug. 1787	159.5
Sep. 1787	157
Oct. 1787	165.25
Nov. 1787	175.5
Dec. 1787	174.75
Jan. 1788	162.25
Feb. 1788	166.75
Mar. 1788	168
Apr. 1788	168.75
May 1788	169.5
Jun. 1788	173.5
Jul. 1788	174.5
Aug. 1788	175
Sep. 1788	177.5
Oct. 1788	179.5
Nov. 1788	175
Dec. 1788	173.5
Jan. 1789	171
Feb. 1789	171.5
Mar. 1789	173.25
Apr. 1789	174.25
May 1789	154.75
Jun. 1789	157
Jul. 1789	158.25
Aug. 1789	164
Sep. 1789	162
Oct. 1789	156.25
Nov. 1789	168.25
Dec. 1789	171.25
Jan. 1790	168
Feb. 1790	167.5
Mar. 1790	160
Apr. 1790	166.5
May 1790	166.25
Jun. 1790	166.5
Jul. 1790	171.75
Aug. 1790	185.5
Sep. 1790	193.25
Oct. 1790	192.75
Nov. 1790	185
Dec. 1790	186.75
Jan. 1791	189.75
Feb. 1791	210.25
Mar. 1791	215
Apr. 1791	207
May 1791	201.75
Jun. 1791	211.25
Jul. 1791	208.25
Aug. 1791	200.5
Sep. 1791	209
Oct. 1791	209.5
Nov. 1791	182
Dec. 1791	185
Jan. 1792	181
Feb. 1792	195
Mar. 1792	205
Apr. 1792	212
May 1792	212.5
Jun. 1792	211.25
Jul. 1792	210.25
Aug. 1792	208.25
Sep. 1792	203
Oct. 1792	206.5
Nov. 1792	211
Dec. 1792	208.5
Jan. 1793	198.25
Feb. 1793	200.5
Mar. 1793	201
Apr. 1793	206.75
May 1793	208.75
Jun. 1793	203.5
Jul. 1793	199.75
Aug. 1793	198
Sep. 1793	192.5
Oct. 1793	190.5
Nov. 1793	193
Dec. 1793	188.5
Jan. 1794	182.75
Feb. 1794	181.25
Mar. 1794	181.75
Apr. 1794	192.25
May 1794	194
Jun. 1794	199
Jul. 1794	196.25
Aug. 1794	197.5
Sep. 1794	200
Oct. 1794	199.25
Nov. 1794	202
Dec. 1794	216
Jan. 1795	212.75
Feb. 1795	212.75
Mar. 1795	216
Apr. 1795	208.75
May 1795	199
Jun. 1795	194.25
Jul. 1795	183.25
Aug. 1795	175.5
Sep. 1795	176
Oct. 1795	175
Nov. 1795	177
Dec. 1795	138.25
Jan. 1796	166.5
Feb. 1796	151.5
Mar. 1796	148
Apr. 1796	150.25
May 1796	143.75
Jun. 1796	163
Jul. 1796	159.5
Aug. 1796	159
Sep. 1796	152.5
Oct. 1796	150.5
Nov. 1796	148.75
Dec. 1796	150.75
Jan. 1797	146.5
Feb. 1797	147
Mar. 1797	149
Apr. 1797	148
May 1797	148.5
Jun. 1797	149
Jul. 1797	146.25
Aug. 1797	148
Sep. 1797	150.25
Oct. 1797	161
Nov. 1797	160
Dec. 1797	165.5
Jan. 1798	162
Feb. 1798	165.5
Mar. 1798	164.25
Apr. 1798	169.5
May 1798	170
Jun. 1798	182.75
Jul. 1798	191
Aug. 1798	200.75
Sep. 1798	195
Oct. 1798	194
Nov. 1798	196.5
Dec. 1798	198.25
Jan. 1799	194.5
Feb. 1799	200.5
Mar. 1799	209.5
Apr. 1799	208.5
May 1799	210.25
Jun. 1799	211.25
Jul. 1799	206
Aug. 1799	203.5
Sep. 1799	208.5
Oct. 1799	205
Nov. 1799	205.5
Dec. 1799	205.25
Jan. 1800	194.5
Feb. 1800	200.5
Mar. 1800	209.5
Apr. 1800	209.25
May 1800	210.25
Jun. 1800	211.25
Jul. 1800	206
Aug. 1800	203.5
Sep. 1800	208.5
Oct. 1800	205
Nov. 1800	205.5
Dec. 1800	205.25
Jan. 1801	188.5
Feb. 1801	185.5
Mar. 1801	194
Apr. 1801	197.75
May 1801	200
Jun. 1801	201
Jul. 1801	192.75
Aug. 1801	198
Sep. 1801	193.25
Oct. 1801	216
Nov. 1801	215
Dec. 1801	218.5
Jan. 1802	212.75
Feb. 1802	214.75
Mar. 1802	215.5
Apr. 1802	226
May 1802	218
Jun. 1802	220.75
Jul. 1802	208.5
Aug. 1802	204
Sep. 1802	207.5
Oct. 1802	205
Nov. 1802	202.25
Dec. 1802	216.75
Jan. 1803	209.75
Feb. 1803	215.5
Mar. 1803	201.75
Apr. 1803	206.75
May 1803	175
Jun. 1803	173.25
Jul. 1803	154.75
Aug. 1803	164
Sep. 1803	162
Oct. 1803	163.5
Nov. 1803	168
Dec. 1803	171.25
Jan. 1804	172.5
Feb. 1804	169.75
Mar. 1804	170
Apr. 1804	170.5
May 1804	169.5
Jun. 1804	174.75
Jul. 1804	177
Aug. 1804	176
Sep. 1804	177.5
Oct. 1804	177.75
Nov. 1804	181.5
Dec. 1804	185
Jan. 1805	188
Feb. 1805	184
Mar. 1805	181.75
Apr. 1805	179
May 1805	181.5
Jun. 1805	182.5
Jul. 1805	182.5
Aug. 1805	177
Sep. 1805	181
Oct. 1805	187
Nov. 1805	189.25
Dec. 1805	192.25
Jan. 1806	185.5
Feb. 1806	183
Mar. 1806	183
Apr. 1806	179.25
May 1806	183.75
Jun. 1806	192
Jul. 1806	185.5
Aug. 1806	187.5
Sep. 1806	186
Oct. 1806	183
Nov. 1806	179.5
Dec. 1806	182.25
Jan. 1807	181.5
Feb. 1807	185.5
Mar. 1807	183
Apr. 1807	187.5
May 1807	187.5
Jun. 1807	187.75
Jul. 1807	175
Aug. 1807	177
Sep. 1807	174
Oct. 1807	173.5
Nov. 1807	179
Dec. 1807	179
Jan. 1808	171.5
Feb. 1808	172.5
Mar. 1808	172
Apr. 1808	182.25
May 1808	177.5
Jun. 1808	182.5
Jul. 1808	185
Aug. 1808	179
Sep. 1808	179
Oct. 1808	179.5
Nov. 1808	181
Dec. 1808	185.5
Jan. 1809	183.5
Feb. 1809	184.5
Mar. 1809	183.5
Apr. 1809	185.75
May 1809	188.25
Jun. 1809	194
Jul. 1809	187.5
Aug. 1809	187
Sep. 1809	188
Oct. 1809	193.5
Nov. 1809	195.5
Dec. 1809	195.25
Jan. 1810	188
Feb. 1810	185.5
Mar. 1810	186
Apr. 1810	185
May 1810	192
Jun. 1810	193
Jul. 1810	186
Aug. 1810	181
Sep. 1810	175.5
Oct. 1810	182
Nov. 1810	183.5
Dec. 1810	183.25
Jan. 1811	177.5
Feb. 1811	177.5
Mar. 1811	177
Apr. 1811	182.25
May 1811	182.5
Jun. 1811	182.5
Jul. 1811	175
Aug. 1811	183.5
Sep. 1811	182.5
Oct. 1811	183
Nov. 1811	185
Dec. 1811	185
Jan. 1812	181.5
Feb. 1812	177.5
Mar. 1812	177
Apr. 1812	176.5
May 1812	175
Jun. 1812	175.75
Jul. 1812	163.5
Aug. 1812	168.5
Sep. 1812	165.5
Oct. 1812	162.75
Nov. 1812	163
Dec. 1812	163
Jan. 1813	163.5
Feb. 1813	160.5
Mar. 1813	161.25
Apr. 1813	167
May 1813	169.5
Jun. 1813	169
Jul. 1813	168
Aug. 1813	165
Sep. 1813	171
Oct. 1813	172
Nov. 1813	179
Dec. 1813	179
Jan. 1814	193
Feb. 1814	199
Mar. 1814	198.5
Apr. 1814	196
May 1814	194.5
Jun. 1814	192.5
Jul. 1814	194
Aug. 1814	194
Sep. 1814	192
Oct. 1814	183
Nov. 1814	187.5
Dec. 1814	187.5
Jan. 1815	191.5
Feb. 1815	192.25
Mar. 1815	190.5
Apr. 1815	175.5
May 1815	176.5
Jun. 1815	176
Jul. 1815	175
Aug. 1815	171.5
Sep. 1815	170.5
Oct. 1815	178
Nov. 1815	189
Dec. 1815	189
Jan. 1816	186.5
Feb. 1816	181
Mar. 1816	184
Apr. 1816	192
May 1816	188
Jun. 1816	182
Jul. 1816	179.5
Aug. 1816	182
Sep. 1816	182
Oct. 1816	189.5
Nov. 1816	193
Dec. 1816	193.5
Jan. 1817	199
Feb. 1817	201.5
Mar. 1817	208
Apr. 1817	211
May 1817	215
Jun. 1817	218
Jul. 1817	230
Aug. 1817	231
Sep. 1817	239
Oct. 1817	240
Nov. 1817	245.5
Dec. 1817	247.5
Jan. 1818	240
Feb. 1818	240.5
Mar. 1818	237
Apr. 1818	236
May 1818	232
Jun. 1818	231.5
Jul. 1818	233
Aug. 1818	225.5
Sep. 1818	225.5
Oct. 1818	233.5
Nov. 1818	232
Dec. 1818	233
Jan. 1819	232.75
Feb. 1819	227
Mar. 1819	221
Apr. 1819	220
May 1819	211
Jun. 1819	210
Jul. 1819	222
Aug. 1819	218.5
Sep. 1819	218
Oct. 1819	206.5
Nov. 1819	208.5
Dec. 1819	208.5
Jan. 1820	208.5
Feb. 1820	213
Mar. 1820	213.5
Apr. 1820	218.5
May 1820	219
Jun. 1820	221
Jul. 1820	219
Aug. 1820	215.5
Sep. 1820	215
Oct. 1820	221
Nov. 1820	224.5
Dec. 1820	224.5
Jan. 1821	228.5
Feb. 1821	230
Mar. 1821	229.5
Apr. 1821	230.5
May 1821	238
Jun. 1821	235.5
Jul. 1821	229.5
Aug. 1821	232.5
Sep. 1821	234.5
Oct. 1821	240
Nov. 1821	240
Dec. 1821	239
Jan. 1822	238.5
Feb. 1822	247
Mar. 1822	247
Apr. 1822	242
May 1822	239
Jun. 1822	239.5
Jul. 1822	250
Aug. 1822	250
Sep. 1822	252.25
Oct. 1822	257
Nov. 1822	257.5
Dec. 1822	252
Jan. 1823	245.5
Feb. 1823	235
Mar. 1823	233
Apr. 1823	243.5
May 1823	251
Jun. 1823	251
Jul. 1823	252
Aug. 1823	264.5
Sep. 1823	266.25
Oct. 1823	263.75
Nov. 1823	268
Dec. 1823	269
Jan. 1824	275
Feb. 1824	278
Mar. 1824	280.5
Apr. 1824	298
May 1824	295.5
Jun. 1824	294.75
Jul. 1824	284
Aug. 1824	286.25
Sep. 1824	287.75
Oct. 1824	289.75
Nov. 1824	287
Dec. 1824	287.75
Jan. 1825	284
Feb. 1825	286
Mar. 1825	280
Apr. 1825	281
May 1825	277
Jun. 1825	279
Jul. 1825	270.75
Aug. 1825	265
Sep. 1825	265.25
Oct. 1825	265.75
Nov. 1825	251
Dec. 1825	248.5
Jan. 1826	235.5
Feb. 1826	225
Mar. 1826	226
Apr. 1826	224.5
May 1826	237
Jun. 1826	237.75
Jul. 1826	226.5
Aug. 1826	235.5
Sep. 1826	237.25
Oct. 1826	245.5
Nov. 1826	248.5
Dec. 1826	248.75
Jan. 1827	234.5
Feb. 1827	244.5
Mar. 1827	243
Apr. 1827	247
May 1827	246.5
Jun. 1827	249
Jul. 1827	258
Aug. 1827	254.5
Sep. 1827	255.5
Oct. 1827	257.5
Nov. 1827	250
Dec. 1827	245
Jan. 1828	249
Feb. 1828	243.5
Mar. 1828	244
Apr. 1828	249.75
May 1828	248.75
Jun. 1828	249.5
Jul. 1828	245
Aug. 1828	241.75
Sep. 1828	239.75
Oct. 1828	236
Nov. 1828	240
Dec. 1828	241
Jan. 1829	238.5
Feb. 1829	228.5
Mar. 1829	228
Apr. 1829	229
May 1829	229.5
Jun. 1829	229.5
Jul. 1829	227
Aug. 1829	224.25
Sep. 1829	223
Oct. 1829	223
Nov. 1829	226.5
Dec. 1829	228.5
Jan. 1830	232
Feb. 1830	246.5
Mar. 1830	239
Apr. 1830	240
May 1830	242.5
Jun. 1830	240
Jul. 1830	246
Aug. 1830	237.5
Sep. 1830	234
Oct. 1830	226.5
Nov. 1830	220
Dec. 1830	219.5
Jan. 1831	213
Feb. 1831	204
Mar. 1831	202
Apr. 1831	206.5
May 1831	203.5
Jun. 1831	203.5
Jul. 1831	201.5
Aug. 1831	199.5
Sep. 1831	198
Oct. 1831	197.5
Nov. 1831	199.5
Dec. 1831	200
Jan. 1832	193.5
Feb. 1832	195
Mar. 1832	195
Apr. 1832	203.5
May 1832	207
Jun. 1832	207
Jul. 1832	199.5
Aug. 1832	203.5
Sep. 1832	203.5
Oct. 1832	201.5
Nov. 1832	202
Dec. 1832	205
Jan. 1833	208
Feb. 1833	209
Mar. 1833	217.5
Apr. 1833	226.5
May 1833	236.5
Jun. 1833	240
Jul. 1833	240
Aug. 1833	244.5
Sep. 1833	242.75
Oct. 1833	240
Nov. 1833	241
Dec. 1833	241
Jan. 1834	245
Feb. 1834	252.5
Mar. 1834	258
Apr. 1834	269.5
May 1834	270
Jun. 1834	267.5
Jul. 1834	265.5
Aug. 1834	255.75
Sep. 1834	263.5
Oct. 1834	266
Nov. 1834	263.25
Dec. 1834	267
Jan. 1835	259
Feb. 1835	256.25
Mar. 1835	259
Apr. 1835	260.5
May 1835	258
Jun. 1835	260.5
Jul. 1835	255.5
Aug. 1835	252.5
Sep. 1835	255
Oct. 1835	255
Nov. 1835	256
Dec. 1835	256
Jan. 1836	254.5
Feb. 1836	257.5
Mar. 1836	258.5
Apr. 1836	257.5
May 1836	260
Jun. 1836	259
Jul. 1836	259.5
Aug. 1836	259.5
Sep. 1836	255.5
Oct. 1836	256
Nov. 1836	256
Dec. 1836	260
Jan. 1837	259
Feb. 1837	257
Mar. 1837	258.5
Apr. 1837	258
May 1837	260
Jun. 1837	263.25
Jul. 1837	258.5
Aug. 1837	259.5
Sep. 1837	260.5
Oct. 1837	263.5
Nov. 1837	268
Dec. 1837	266.5
Jan. 1838	265
Feb. 1838	264.5
