0;1
Newa11, David Rae (1789-;"bap 7 Jun 1789 Scot1and; in sea service 6m; 6th mate SURAT CASTLE (2) 1806/7; 4th mate CIEYILON 1800/10; Sr1 mate CUSTINEIULS 1811/2; 1st mae HENRY AUDINGLON (2) 1813/4; 2nd mate EARL OF BALCARRAS 1815/6; 1st mate EARL OF BALCARRAS 1817/8; 1st mate GENERAL HEWETT 1819/20; Capt SCALEBY CASTLE 1820/1, 1822/3 & 1824/5; Capt WATERLOO (1) 1828/9 "
Newa11, Baward;3rd mate LONDON (2) 1660/1 
Newman, George Caswa11;"midshipman CANNING 1821/2, 1823/4 & 1825/6; 5th mate GEORGE THE FOURTH 1827/8; 5th mate LONDON (14) 1829/30; 5th mate EARL OF BALCARRAS 1831/2 "
Newman, Richard;purser FREDERICK 1712/3 
Newman, Samue1 (-1718);"purser DUKE OF YORK (1) 1716/7; d 12 Aug 1718 "
Newman, Thomas;Capt ARMENIAN MERCHANT 1692/3 
Newport, Thomas;master REFORMATION 1628/9 
Newman, Thomas (-1711);"3rd mate AURENGZEBE 1710/1; d 15 Nov 1711 "
Newman, Wi11iam;1st mate ROYAL JAMES 1683/4 
Newnham, Char1es;5th mate CARNATIC (2) 1787/8 
Newnham, Thomas;5th mate PRINCESS CHARLOTTE (1) 1797/8 
Newnam, Char1es (-1711);"Capt TANKERVILLE 1699/1700, 1705/6 & 1708/9; d 22 Dec 1711 Cape "
Newnam, Isaac;5th mate MARLBOROUGH (2) 1715/6 
Newnam, Thomas;purser CAESAR (1) 1686/7 
Newport, Anthony;Capt EAST INDIA MERCHANT (1) 1649/50, 1651/2 & 1653/4 
Newport, Christopher;"Capt EXPEDITION 1612/3; Capt LION 1614/5; master HOPE (1) 1616/7 "
Newport, Hawes;2nd mate FREDERICK 1708/9 
Newsham, Thomas (-1725);"1st mate CARDONNEL 1714/5; Capt HERTFORD (1) 1717/8; Capt FRANCES 1720/1 & 1723/4; d 8 Mar 1725 "
Newson, Samue1;Surgeon MARCHIONESS OF EXETER 1815/6 
Newson, Wi11iam;6th mate EARL OF LINCOLN 1768/9 
Nicho11s, Edward;"5th mate PRINCESS LOUISA 1742/3; 2nd mate CHESTERFIELD 1747/8 "
Nicho11s, George (c1781-);"b in Eng1and; midshipman EARL OF ABEREAVENNY (2) 17 26°? midshipman HINDOSTAN (2) 1798/9; 5th mate HINDOSTAN (2) 1800/1; 3rd mate EUROPE (2) 1802/3; 1st mate WINDHAM (2) 1804/5 (approved 29 Dec 1804, aged 23); 1st mate SCALEBY CASTLE 1806/7; Capt LADY LUSHINGTON 1808/9; Capt BENGAL (3) 1811/2 & 1813/4; Capt CLAUDINE 1823/4 "
Nicho11s, Henry;"3rd mate MONTAGU (3) 1742/3; 2nd mate PRINCE WILLIAM (2) 1746/7 "
Nicho11s, Herman (-1742);"4th mate PRINCE AUGUSTUS 1729/30; 3rd mate PRINCE AUGUSTUS 1732/3; 2nd mate NORMANTON 1735/6; 2nd mate ONSLOW G1) 1939/3; 11ot mate 1ALTRATe (2) 1739/40; d5 Sep 1742 "
Nicho11s, Isaac;3rd mate LAWRELL 1682/3 
Nicho11s, John (-1755);"tt mutts TELAVLITPASS (2) 1939/80; Ind1 onatte BEAUFORT (2) 1743/4; 1st mate BENJAMIN (3) TSG; Ind mate LONDON @) 1753/4; d 5 Oct 1755 "
Nicho11s or Nico11s, John;"3rd mate ADMIRAL POCOCK 176 1/2; 1st mate KENT (4) 1767/8 "
Nicho11s or Nico11s, John (c1744-1779);"apprentice & mate Diamond in Straits trade 8y 6m; midshipman TILBURY 1767/8; 4th mate KENT (4) 1769/70; 2nd mate NOTTINGHAM 1771/2; 1st mate CALCUTTA (2) 1773/4 & 1777/8; d 5 Nov 1779 "
Nicho11s, John;"2nd mate COMET (1) 1793/4; 2nd mate EURYDICE 1797/8; 1st mate TRITON (4) 1802; 1st mate UNION (5) 1804 "
Nicho11s, Robert;' 3rd mate SPEKE 1768/9 
Nicho11s, Thomas;5th mate FALMOUTH 1764/5 
Nicho11s, Wi11iam;3rd mate FALMOUTH 1764/5 
Nicho1s, Benjamin;5th mate ESSEX (1) 1722/3 
Nicho1son, Char1es (c1757-);"bin Eng1and; apprentice Mary three voyages to Jamaica Sy; seaman De1aware (1y) and Liberty (Sm) to the Mediterranean; seaman Beisey trom Leghorn tm; seamam Ariadne to Dominica 9m, Scaman Foo to St Petersburg Sim; midshipman QUBEN @) L775; ; midshipman DUKE OF KINGSTON (2) 1776/7; 5th mate DUKE OF KINGSTON (2) 1778/9; 3rd mate FRANCIS (2) 1781/2 (approved 9 Apr 1782, aged 25); run 15 Aug 1783 "
Nisbet or Nesbitt, James;purser ROCKINGHAM 1795/6, MANSHIP (1) 1798/9 
Nisbet, James;purser LADY MELVILLE 1813/4, SCALEBY CASTLE 1815/6 
Nisbet or Nesbitt, James (1803-1828);"> Mar 1803; sanzecm CHULIDE HAROLD 1824/5; Benga1 Asst Surgeon 16 Jan 1827; d 17 Apr 1828 Ca1cutta "
Niven, Thomas;purser WILLIAM PITT (2) 1804/5 
Nivers, Wi11iam (-1806);"6th mate STREATHAM (4) 1804/5; d 12 May 1806 "
Nivison, A1exander;surgeon LADY LUSHINGTON 1810/1 & 1812/3 
Nixon, Francis;6th mate CASTLE EDEN 1810/1 
Nixon, John;"5th mate DUBLIN 1784/5; run 23 Dec 1785 "
Nixon, Josiah;purser RAPIER 1702/3 
Nixon, Thomas;Cant IBRITTANITIA 4) 1795/8 
Nixon, Wi11iam (-1760);"3rd mate ESSEX (2) 1747/8; 2nd mate DUKE OF DORSET (2) 1750/1; 1st mate SHAFTESBURY (2) 1753/4; 1st mate SANDWICH 1756/7, 1st mate LORD MANSFIELD (1) 1758/60; d 16 Mar 1760 "
Nob1e, Robert;5th sate HAIL OF MIDDLESEX I766/?, Dud toate DUE OF PORTLAND 1769/70 
Noden, Hugh;surgeon THISTLEWORTH 1718/9, LYELL (1) 1721/2 
Nodea, Re1pih;4th mate DULCE OF CAMBRIDGE IV19/20, Soci imate DICE OF CAMBRIDGE 17223 
Norbury, Nicho1as;"master FALCON (1) 1631; master REFORMATION 1632/3 "
Norfor, Robert Wright (1784-);"05 Mar & bap 4 Apr 1784 Gt Yarmouth, Norfo1k, s of Robert & Sarah ince Waighe; tm Heong trade 3y; seanmem “ELULICMERINY 1799/1800; midshipman TELLICHERRY 180 1/2; 5th mate PERS DVURANCIE (2) 1803/4; 3rd mate PERSEVERANCE (2) 1805/6; 1st mate WEXFORD 1809/10 & 1811/2; commander in posta1 service to West Indies and Brazi1 3y 6m; Capt & Principa1 Managing Owner HYPERION 1819/20; Capt REGENT 1821/2 "
Nongate, Stephen;"3rd mate HERBERT (2) 1707/8; 3rd mate GODOLPHIN (1) 1708/9 "
Norris, Robert (-1748);"4th mate BEDFORD (2) 1739/40; 3rd mate PRINCESS OF WALES (2) 1742/3; 3rd mate BRITANNIA (2) 1745/6; d 11 Feb 1748 Norris, TD 3rd mate LARKINS (2) 1826/7 "
Norris, Thomas (-1773);"5th mate ALFRED (1) 1772/3; d9 Sep 1773 "
North, Arthur;"4th mate LONDON (8) 1737/8; 3rd mate MONTAGU (3) 1739/40 "
North, Dud1ey (1805-);"1S Veo & bay 26 Ju1 1805 Bastings, Sussex; midshipman CASTLE HUNTLEY 1821/2 & 1823/4; 5th mate DUKE OF YORK (2) 1824/5; 4th mate DUKE OF YORK (2) 1826/7; 3rd mate DUKE OF YORK (2) 1828/9; 2nd mate THOMAS COUTTS 1831/2 "
North, John;Capt GOLDEN FLEECE (2) 1676/7 & 1678/9 
North, John (c1737-);"apprentice Nancy in the Oporto and Lisbon trades oy; matte Rebecea and other ships to Fmaicn, Straits, America and Africa 8y; commander Sukey, F1y and Triton to Africa and West Indies 6y; officer HMS Genera1 Conway to Quebec 1y; commander Tartar privateer 1y; 4th mate GATTON 1779/80 (approved 11 Apr 1780, aged 43) "
North, Joseph;"2nd mate DOROTHY 1693/4; 1st mate TRUMBAR 1697/8; 1st mate SOMERS 1699/1700; 1st mate TAVISTOCK (1) 1707/8; 1st mate HANOVER 1712/3 "
Northwood, John;"4th mate ADMIRAL GAMBIER 1812; 2nd mate PRINCESS CHARLOTTE (2) 1818/9 Norton, A 5th mate LORD LOWTHER 1831/2 "
Norton, James (1789-);"bap 9 Jun 1789 Newark, Notts, twin s (with Richard) of James & E1izabeth; 3rd mate SIR WILLIAM PULTENEY 1808/9; 3rd mate WARLEY (2) ISIO/L; 1st mate WAIRLEY @) 1812/3 & 1814/5 H Norton, John é 6th mate BRUNSWICK 1801/2 "
Norva1, Joseph (1809-);"b 30 Sep & bap 25 Oct 1809 Abbotsha11, Fife, s of Char1es & Magda1ene Howden; surgeon's mate DUKE OF YORK (2) 1830/1; surgeon DUKE OF YORK (2) 1832/3 "
Norway, Edmund (1808-);"b 19 Mar 1808 & bap 5 Nov 1810 Eg1oshay1e, Cornwa11, s of Wi11iam & Mary; midshipman CHARLES GRANT 1828/9; 5th mate WINCHELSEA (3) 1830/1; 3rd mate ORIENT 1832/3 "
Norway, Nevi11e;"3rd mate BOMBAY CASTLE (1) 1745/6; 1st mate TRITON GD IFS0fE; Capt ORE LANINTA, (2) 1753/4  "
